generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,1891.509802,16301206.064191,27.871344,0.915249,10
2,2850.232318,51733797.665707,28.565920,0.879158,10
3,1829.574977,23385196.820763,27.925740,0.898518,10
4,2003.352249,17296931.931054,28.092025,0.898579,10
5,1569.180096,6382773.103037,27.611850,0.960581,10
6,2484.295640,21249822.602402,27.403479,0.953906,9
7,2368.156755,24146158.299059,27.340598,0.943085,10
8,5034.005578,143158340.292305,27.285043,0.947587,9
9,3536.354813,46849680.927411,26.788745,0.982701,14
10,2891.893186,23875103.766838,27.573826,0.926728,14
11,7214.164275,562970677.640446,27.229536,0.977531,10
12,7754.877255,386696963.872774,26.714596,1.012626,7
13,2917.087476,117387879.059864,26.846965,1.026389,10
14,4061.511000,94093262.705273,26.972885,1.012815,9
15,3350.615322,33171287.347728,27.326185,0.985369,9
16,2818.400775,28503502.298845,26.647029,1.064748,7
17,4785.891588,244800368.204509,26.011615,1.164829,10
18,7885.988171,266115584.077198,26.132903,1.069360,7
19,4957.012137,124079888.649900,26.837965,1.054034,10
20,6470.312227,215913509.573403,26.623819,1.093724,11
21,16244.157418,1346949331.375053,24.994374,1.233085,8
22,23699.864016,1863452197.396883,24.482227,1.329057,11
23,16803.086978,1318215339.959136,24.526601,1.369474,13
24,16788.676071,1243471888.188249,22.943921,1.784132,9
25,27856.881631,1684031898.431506,22.533477,1.924821,5
26,30364.735061,1737632612.498446,20.872339,2.448214,9
27,23338.461974,1191746657.846711,20.398902,2.694033,6
28,22792.708882,1408202642.284608,19.542441,3.637452,9
29,22373.757488,1158793078.061867,19.436944,3.735987,8
30,28439.404303,1718098466.094018,17.573726,4.726244,7
31,25785.463844,1477323811.541032,17.708370,4.830064,9
32,21789.545535,554770927.692101,17.488270,5.071832,8
33,21130.015361,823967727.292303,15.846103,7.453393,9
34,23162.049779,689664000.712872,16.079161,6.327666,12
35,26000.267992,1177066671.114454,16.303186,6.068878,10
36,25645.278613,1076063933.100050,15.287417,7.528211,7
37,26731.553357,1352783846.275555,15.598339,7.115270,9
38,34262.251897,2135129537.982626,17.270584,4.583556,7
