generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,529.790542,227392.313494,28.834523,0.950431,11
2,520.350849,139568.275370,28.979332,0.893034,11
3,528.775025,212603.392935,28.529656,0.925585,11
4,558.655607,152230.243387,29.066717,0.912867,9
5,577.580634,248658.374588,29.255956,0.895908,11
6,605.752065,231212.798069,29.165342,0.902581,11
7,566.875994,167517.438910,29.324290,0.885118,11
8,630.123029,357860.632491,29.204183,0.910774,9
9,512.918876,152319.265030,28.860845,0.898357,10
10,601.974860,280701.099275,28.871822,0.891366,10
11,543.452392,133168.755932,29.275553,0.892191,16
12,456.815900,74806.529162,29.157845,0.886193,10
13,579.766916,194868.116456,28.785938,0.904618,10
14,582.101511,400324.229939,28.892329,0.914163,14
15,611.976210,309586.969413,29.649347,0.843668,14
16,585.754163,158959.303355,29.196107,0.897350,11
17,559.857049,152581.836471,29.146853,0.878271,11
18,619.827294,321877.591934,29.290531,0.897371,11
19,635.471964,529719.675654,28.969660,0.907737,2
20,488.188505,107126.803552,29.203316,0.882833,6
21,579.554226,294186.877815,28.976352,0.874176,15
22,519.093366,161155.856336,29.474981,0.889322,9
23,569.110485,156916.934522,28.880419,0.906084,10
24,518.182660,109392.862781,29.364452,0.884397,6
25,576.589355,163503.219893,29.319349,0.922833,9
26,582.156215,200123.688432,29.168568,0.898738,11
27,502.627122,146169.895241,28.961642,0.918950,13
28,540.488852,180598.132643,29.452210,0.864142,11
29,564.658849,171584.873018,29.371682,0.891028,7
30,549.237786,133151.587355,29.121665,0.903303,10
31,566.439070,174977.777489,29.509051,0.897914,7
32,613.404192,267766.256030,29.103041,0.893109,11
33,557.945921,148127.264696,29.479577,0.883010,6
34,683.016321,513833.601875,28.907148,0.906748,11
35,663.724923,401238.548615,29.456927,0.881190,8
36,543.773090,120945.360935,29.582134,0.867582,9
37,504.236519,103430.830580,28.876109,0.914602,6
38,529.017602,222748.715997,29.315001,0.889204,9
39,550.199992,189060.956840,28.746190,0.904594,4
40,420.078812,67958.076603,29.630694,0.889676,4
41,501.890739,113419.494220,29.543855,0.894949,16
42,507.673921,142695.654967,28.813397,0.948161,11
43,465.052746,64602.585808,29.308852,0.898254,2
44,475.791197,85973.605653,29.226299,0.855315,2
45,509.892125,159805.604379,29.068207,0.913803,5
46,539.589340,202933.780988,29.062348,0.910346,11
47,573.541386,428270.084584,28.991643,0.875207,6
48,599.015362,346959.938147,28.917620,0.927172,8
49,501.073598,90074.275543,28.907863,0.922829,7
50,618.387051,260297.943717,29.001770,0.944483,1
51,439.618184,73987.052471,29.424892,0.860856,11
52,545.377921,178695.700416,28.828533,0.897341,7
53,532.582982,190548.077571,29.079196,0.873358,7
54,699.323497,365652.452196,29.276760,0.892645,11
55,551.514129,332818.580324,28.126533,0.928847,13
56,563.829214,168739.123186,29.119314,0.928117,11
57,656.190639,311142.842547,29.014911,0.913471,5
58,462.654947,73414.550823,28.409063,0.945015,8
59,437.928913,64459.781478,28.166956,0.969186,7
60,520.542034,192961.687256,28.589189,0.946906,4
61,449.387294,74461.270931,28.752136,0.897848,2
62,589.994679,263230.661293,27.801869,0.962613,9
63,585.412927,353224.637044,28.037149,0.953634,2
64,794.464040,1634846.084914,27.841400,0.973728,4
65,728.011685,791207.278995,27.756719,1.001849,8
66,577.823886,148098.569740,27.562776,0.989381,2
67,1324.170013,4482938.790324,27.336821,1.001017,5
68,585.790487,172618.049787,28.445021,0.943935,13
69,1124.116497,6291084.041542,27.342478,0.987482,7
70,653.519201,323608.785656,27.484427,1.000427,5
71,714.668313,461037.100079,27.413020,1.016434,2
72,873.664349,2000545.135996,27.183954,1.013751,0
73,799.201912,592207.120654,26.919453,1.023175,7
74,810.648739,1157415.884719,26.087855,1.067348,9
75,8316.805164,739100423.244651,25.764404,1.155196,9
76,3949.175717,88598014.894753,26.431373,1.055422,7
77,1926.014827,10429956.151550,26.085351,1.078616,5
78,3309.133620,77732541.364153,25.760241,1.045886,5
79,7068.389791,335816801.007116,25.723165,1.107582,1
80,7267.865561,398695168.148733,25.420092,1.125620,2
81,3081.264236,62003346.394987,25.735852,1.131888,4
82,9192.295807,520542971.811592,25.076483,1.222432,2
83,8001.403556,482129093.725908,25.784297,1.121673,4
84,4271.025182,83142996.741700,25.409226,1.204262,5
85,5984.735485,375324107.376460,24.971680,1.270567,7
86,12781.492130,870844807.067746,24.806497,1.223292,8
87,12183.070491,595283991.280511,25.099903,1.225379,5
88,5383.520492,259621647.370238,25.167713,1.226438,6
89,5256.137440,132639691.571955,25.413420,1.152779,6
90,7657.230078,370210890.824247,24.840744,1.342771,8
91,6670.542875,512125397.008455,24.646346,1.251232,7
92,13909.239104,938813827.398871,24.291178,1.346591,6
