generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,146.329079,11335.242474,17.051620,5.265041,4
2,148.309836,17205.886427,17.200552,5.869601,4
3,146.024595,13908.150776,17.672163,4.512302,5
4,147.632968,17234.680406,16.918828,5.422470,4
5,139.466753,6826.757499,17.062996,5.883946,2
6,143.580236,8795.734057,17.665664,5.592106,4
7,145.394291,8192.079486,19.104739,4.742435,3
8,153.470380,22993.788267,18.108300,4.932611,6
9,144.975731,12434.737649,18.000862,5.206930,4
10,144.687829,11306.401817,17.209441,4.723857,4
11,143.423055,12360.499409,16.635371,6.155901,3
12,146.399883,11109.311929,18.093162,5.018945,4
13,145.801564,9112.851099,19.287321,4.573097,3
14,149.028433,13978.541511,18.682487,3.658141,3
15,151.264953,13481.909992,18.662704,4.296539,4
16,147.828925,11641.618859,18.973756,4.936534,4
17,152.751977,14040.939619,19.187423,4.112690,2
18,148.203530,11567.460107,18.654015,4.711214,2
19,143.205971,7954.793308,18.342363,5.350924,2
20,147.514921,15211.711707,18.670506,5.371831,3
21,147.133235,12922.661327,18.107497,4.919745,6
22,146.899505,10748.861686,17.236541,4.833897,4
23,153.668568,19349.575288,18.670132,4.566646,4
24,150.768590,14924.169726,18.991974,3.759743,6
25,153.588882,11140.015510,18.864100,3.542343,3
26,165.618565,78447.687030,19.436285,4.232450,4
27,153.230997,13725.830345,19.046343,4.025125,5
28,144.146382,9288.518215,17.875175,5.370476,4
29,151.433943,14342.534735,18.324937,4.334391,8
30,148.117530,12384.270398,18.259706,4.440389,5
31,148.896107,12672.037179,17.790608,5.081365,4
32,148.175732,12354.285927,18.491233,4.493026,4
33,146.304656,11397.733487,17.786821,4.203618,3
34,151.561009,14335.406394,19.179042,3.926367,2
35,156.113427,20689.017275,17.557778,4.859494,2
36,151.367653,13143.477267,19.507177,3.815542,2
37,149.837883,11789.021634,19.195543,4.752168,2
38,147.564968,10585.025063,18.078104,4.845429,3
39,148.735063,9761.649265,19.514455,3.782039,7
40,150.769819,13417.993405,18.614482,4.454126,2
41,151.095495,14376.327618,18.489381,4.613026,6
42,145.511344,9274.441982,19.052672,4.632984,3
43,152.405792,14985.801725,18.544454,4.328869,4
44,150.897281,8606.194918,19.372100,3.604950,2
45,160.741714,19649.849893,19.636977,3.393943,3
46,147.578358,9980.230627,18.439305,4.652426,1
47,151.150999,10804.920789,19.426199,4.257422,2
48,151.842907,12311.225151,18.445800,4.566244,4
49,155.458495,17796.471169,19.056709,4.378606,3
50,150.454185,13264.440977,18.989155,4.218711,6
51,154.616419,23046.497293,17.766499,4.715881,5
52,148.260218,7983.381229,18.558867,4.285215,4
53,144.904946,13887.763415,16.075213,6.239468,2
54,148.198685,10726.214616,18.075025,4.500799,2
55,144.923980,11734.678835,17.020135,5.468453,4
56,145.985443,13609.577702,17.294310,5.644906,4
57,144.119850,9046.107935,17.425257,5.055747,4
58,146.869451,13538.434451,17.432716,5.181236,3
59,176.022506,86386.949846,17.796718,4.518142,5
60,145.787500,11581.658098,16.985155,6.106499,4
61,159.262590,19876.244435,18.903579,3.572908,2
62,148.909022,14203.828266,17.364700,4.672225,4
63,148.208172,10459.864819,18.180745,4.908201,2
64,145.226736,8690.765849,18.717013,4.769641,2
65,146.340162,8444.671217,18.800654,4.490713,4
66,148.878485,16650.415622,18.045369,5.216948,6
67,147.402397,9670.463321,18.032242,4.152057,4
68,147.055089,10621.184046,18.426511,4.077692,2
69,146.281064,13479.283629,17.051782,4.620983,1
70,145.034770,7520.026749,18.177411,4.209032,4
71,154.351471,14188.074695,19.805286,3.452743,3
72,146.495745,8547.402267,18.719023,4.582377,2
73,150.207895,9331.585617,19.928966,3.725848,2
74,157.464372,23745.488376,19.629755,3.683004,3
75,151.775290,10535.489760,19.571206,3.673430,4
76,155.475759,14854.650467,18.788085,4.179234,4
77,153.893265,18518.920580,19.690854,4.073362,2
78,145.176078,9663.177336,18.823368,4.169324,2
79,145.617803,11443.529945,18.052451,4.301732,2
80,149.242464,13203.819617,19.197048,4.675352,2
81,148.798890,9530.407644,18.186716,4.296636,1
82,147.942397,11647.180742,17.901592,4.786375,5
83,149.884676,10645.271969,18.779577,3.685443,4
84,146.540624,10095.673195,18.257519,4.639361,3
85,151.900699,13360.291106,19.587851,3.431819,2
86,155.677166,19483.627713,20.007258,3.354439,2
87,156.422851,15118.214208,19.592271,3.407755,5
88,156.519882,13027.784487,20.402540,3.059440,4
89,147.728943,8132.681155,20.227059,4.513397,3
90,149.558376,13108.337241,19.073943,4.041858,4
91,149.097986,10851.133680,19.333250,4.366512,5
92,153.390935,12314.092672,19.900625,3.657956,2
93,154.385329,21721.009333,17.531721,5.229178,1
94,153.240073,16106.669649,18.909218,4.310126,5
95,153.881402,19637.941885,19.373976,3.662828,3
96,147.871051,9133.190954,18.837098,4.073203,2
97,155.855798,18778.396284,20.600170,3.387143,4
98,147.254086,10849.115353,17.978239,5.173133,3
99,147.386895,15066.168855,17.706232,5.700101,1
100,148.134824,9988.737474,20.137117,3.728810,2
101,146.105299,8797.864897,18.615658,4.548845,2
102,149.449298,13570.016487,18.676637,3.909178,1
103,145.337454,11388.131682,18.754573,5.117567,2
104,145.211393,9594.634799,18.045891,4.906232,3
105,145.988636,10848.956580,19.192346,4.148209,2
106,152.336147,15417.614039,19.017273,3.813013,2
107,150.526371,10821.927463,19.087014,3.718916,2
108,147.753402,11665.019905,18.047482,5.145833,3
109,148.196471,12586.701327,17.303643,4.642516,3
110,147.164067,10423.375748,18.862453,4.483062,1
111,150.164170,13273.838389,18.477230,4.173541,3
112,145.741431,10909.892743,19.107377,4.447082,2
113,147.963966,9578.680475,19.206543,4.135957,2
114,151.409918,17550.717967,18.726535,4.327647,2
115,147.770025,11273.192980,19.522364,3.618982,1
116,156.141937,21361.661246,18.586534,4.469964,3
117,148.174349,8381.898836,18.648100,4.001110,3
118,147.212439,10817.786551,17.478824,5.967478,3
119,148.159562,12298.250292,18.159383,4.385758,1
120,149.641609,12318.102554,18.996461,4.381742,1
121,153.066720,18450.978463,18.468472,5.143683,1
122,143.784915,10467.922634,17.873173,4.952660,3
123,147.068586,8647.965411,19.000976,4.418135,3
124,157.705148,21510.653998,18.513481,4.415668,1
125,146.491269,11647.893895,18.444113,5.141449,2
126,147.218025,11769.159511,18.330596,4.885407,1
127,146.433397,11227.744952,18.323130,3.968891,3
128,150.025106,11457.920563,19.936977,3.502033,3
129,148.006086,12832.613950,18.616264,4.134676,1
130,145.259235,7742.213720,19.914594,3.994399,2
131,152.778874,13639.963817,18.732039,3.904723,1
132,145.614913,8450.011242,19.438350,4.728322,4
133,147.162239,14684.634322,17.208601,5.932991,1
134,147.479902,10988.999937,17.518837,5.011943,3
135,145.023969,9780.499010,17.458109,5.136952,5
136,149.020884,9381.859651,19.408457,3.566438,1
137,146.111211,7014.193981,18.884954,4.191522,1
138,148.658675,9693.986150,19.303904,4.124251,1
139,152.315811,13591.911200,19.708408,3.545861,1
140,151.670256,11755.226690,20.369846,3.604210,3
141,154.353209,11773.410482,20.098507,3.469088,1
142,145.780962,11496.153391,18.747320,5.065463,2
143,151.720843,14412.921456,19.592139,4.130992,1
144,151.047705,11377.227212,19.346375,3.425506,4
145,149.978217,16891.221153,18.484126,4.881758,1
146,142.402047,8904.611764,17.830591,5.754030,1
147,145.134734,7222.380538,17.620603,5.433273,5
148,147.513818,9393.722632,18.188326,5.008207,1
149,146.521103,10107.198548,18.002933,5.115092,1
150,146.076925,7499.280197,18.940740,4.504936,1
151,143.588992,7369.855658,18.675670,4.560540,1
152,150.747340,12334.873664,19.418745,4.191761,1
153,148.466682,16574.955304,18.221847,4.576420,1
154,152.004782,14241.879779,19.619522,3.908497,1
155,150.845158,11945.549641,17.029588,4.832030,1
156,146.282250,9959.987340,17.300279,5.440189,1
157,146.188219,9543.732930,16.896748,4.853034,1
158,148.815376,10975.243344,19.625546,3.867403,1
159,158.554515,21031.756689,18.537106,4.417561,7
160,146.219162,11934.472842,18.069065,4.476246,2
161,150.878089,13198.931900,18.600259,4.736264,1
162,152.564475,16710.772744,19.446914,3.938955,1
163,150.462030,16908.193420,18.787119,4.603924,1
164,145.507269,10745.688916,17.083697,5.648011,1
165,145.594256,9623.590686,18.039104,4.741824,1
166,148.566431,10593.733790,18.393119,4.323081,2
167,153.216088,19756.969215,17.411632,5.206149,1
168,154.146001,20359.678538,17.411870,4.709731,2
169,144.210510,7456.641743,18.245160,4.710186,1
170,153.383443,13238.396286,19.193759,4.550576,7
171,148.164625,9412.916320,19.579100,4.392923,5
172,149.323924,9660.720402,19.700388,4.333401,1
173,155.979566,10320.276203,21.041309,2.957987,1
174,157.286967,19569.544345,19.868066,3.839973,1
175,150.031984,7808.436511,20.207729,3.974117,1
176,152.091800,15802.785428,18.363531,4.421602,1
177,149.001604,10370.022957,19.154385,5.333362,1
178,147.403593,12328.551952,18.816618,5.265812,0
179,145.206514,10959.242977,18.514330,4.915137,1
180,144.955603,11074.974843,17.570275,6.014150,1
181,150.099729,15094.823487,18.326316,4.536055,1
182,153.222690,18910.282382,18.924316,5.163399,1
183,154.383161,18092.326748,19.199059,4.480114,1
184,149.935356,14997.105454,17.110673,5.806529,1
185,147.765319,11324.670111,18.334681,4.963368,2
186,147.634016,11320.628212,18.203877,5.067735,1
187,154.109812,16605.843833,19.080790,4.310170,1
188,147.305175,8466.803830,18.977268,4.870273,2
189,147.634324,9493.745067,18.715329,4.896004,1
190,147.392828,10046.835287,18.510012,5.267912,1
191,145.118552,9314.624472,19.358319,5.138972,1
192,150.183927,12232.498459,17.407420,6.588016,1
193,156.552660,22661.030636,18.118997,4.519716,1
194,147.159026,10391.403404,17.336869,5.284739,1
195,146.767242,7807.325551,17.961676,5.001929,1
196,153.174836,21199.434785,19.047493,4.709308,1
197,147.383888,9327.314019,17.220650,5.691198,1
198,149.282541,10468.966819,18.852483,4.874276,5
199,145.878827,10119.720646,17.063272,6.639467,9
200,147.897952,13441.438407,17.763138,6.257921,1
201,147.372244,11650.282122,17.740950,5.655080,1
202,151.997408,19874.307298,18.059084,5.077402,2
203,149.100425,9826.701515,19.021483,5.185231,1
204,143.360430,9971.620155,17.184751,6.401635,1
205,150.531690,14178.949550,18.234182,4.879679,1
206,147.014320,11596.067788,18.135403,5.780302,1
207,145.574258,8119.909577,18.353520,5.707376,1
208,148.080452,11169.916270,18.390397,5.502995,0
209,144.778614,7936.765270,17.318243,5.439190,1
210,150.701669,14506.874402,17.661362,6.646382,1
211,147.040920,14867.293956,17.616136,6.063390,2
212,147.905124,9560.767880,18.500229,5.927658,1
213,146.695860,12915.507390,17.621541,5.673768,1
214,144.479742,9088.575920,18.633628,5.838803,1
215,142.412105,6938.527674,18.447939,6.231705,1
216,144.767609,12232.552152,17.136582,5.859527,1
217,147.221264,14983.865644,16.869048,7.136396,1
218,147.954707,12067.360031,17.421467,6.664940,1
219,147.407601,10759.761544,18.787709,4.832879,1
220,143.061764,7371.952811,17.413516,5.657667,5
221,141.775825,9832.339779,17.483195,7.182756,1
222,151.486582,15601.738565,18.740403,5.537710,1
223,142.902445,10892.557867,17.219023,6.779597,1
224,146.530809,14411.682057,17.592342,6.276838,1
225,146.347912,11929.566905,17.428722,6.425606,1
226,145.133880,11543.670180,17.610881,7.026852,4
227,147.404496,13675.321535,17.882175,6.051693,3
228,147.827152,15529.162120,17.487108,7.996325,1
229,146.752347,9964.143212,18.216933,6.184535,1
230,148.789039,17781.236226,17.090261,6.902576,1
231,151.915316,19284.754610,17.675999,5.927668,1
232,147.734381,10519.660956,18.507467,6.334115,1
233,154.254906,29158.260306,18.006201,6.534057,1
234,149.495223,18919.493064,18.398789,5.775693,1
235,146.509180,16018.510816,17.986470,6.636597,2
236,142.744223,7458.595267,16.937050,7.551499,1
237,152.313228,18912.223218,17.372268,6.698799,1
238,144.715249,8171.152257,17.775184,6.168221,1
239,148.374003,11627.413261,18.239513,6.936069,1
240,147.835857,10426.150420,18.158692,6.271109,1
241,148.005362,8658.047631,20.238171,4.266772,1
242,166.953180,56363.111485,17.554889,7.355541,1
243,149.302623,12691.851679,17.618314,6.650955,1
244,141.641454,11738.881134,17.600431,8.932375,1
245,147.698682,10153.000024,18.061464,5.413640,4
246,143.022396,9737.333568,17.375646,7.070892,2
247,148.164804,14190.636078,18.228185,5.839215,1
248,143.375934,12225.663466,17.745909,7.967500,1
249,146.820770,18585.154711,17.816097,7.820730,1
250,145.840000,11185.948500,17.864431,7.052927,1
251,148.521391,10981.817225,17.733635,6.368522,1
252,146.603895,14283.399248,17.913340,7.732594,2
253,150.210833,15237.730230,18.906362,7.213371,1
254,146.223444,9841.428726,18.599267,6.695456,1
255,146.431889,11355.737519,17.491538,7.082821,1
256,149.584969,15246.099115,18.484570,6.569108,1
257,145.427533,12005.145784,16.589357,8.477238,1
258,147.588926,15021.116049,18.222486,7.829232,1
259,145.207058,9405.488358,18.077097,6.546566,1
260,145.297890,12249.355018,17.139665,7.854365,1
261,143.570461,8514.891607,18.049541,6.374265,1
262,149.500795,15822.501776,18.474813,5.602021,1
263,148.111716,10923.902671,18.620942,6.680146,1
264,155.868368,26368.119677,18.998745,4.486272,1
265,149.038394,17278.179526,18.607142,6.581844,1
266,145.813046,10981.064350,18.351082,7.139615,1
267,144.178865,10671.860889,17.713939,7.005839,1
268,146.228461,10065.197407,18.123208,6.167096,1
269,153.431554,18589.935103,18.984541,5.969180,1
270,143.497726,11100.064044,16.971020,9.431329,1
271,142.375445,9254.296497,16.272366,9.389384,1
272,142.782575,9700.743752,15.832883,9.127801,1
273,146.354972,14053.352987,17.347575,7.605401,1
274,145.652926,9809.114459,19.062864,5.994726,2
275,151.678700,17543.984678,18.319413,6.657867,2
276,148.656721,16006.543260,18.255786,7.108376,1
277,142.665285,9754.713164,16.834740,9.364062,1
278,152.133678,10035.619022,18.510006,5.620536,1
279,151.296621,18266.866568,17.566783,8.773922,2
280,143.365526,9875.464051,16.625652,7.773433,1
281,173.587453,118463.592369,15.836895,9.067211,1
282,146.184122,13231.048623,17.609422,7.970856,2
283,147.736585,20085.330228,16.088118,9.681674,1
284,149.438171,14900.085875,17.656098,7.376567,1
285,145.678211,11026.392661,17.386091,7.300803,1
286,148.353555,12570.429359,18.284571,6.110608,1
287,145.447953,14702.673840,17.598868,7.186495,2
288,144.938260,12081.478652,18.160469,7.527157,1
289,145.356935,10569.849444,17.530366,7.712080,0
290,148.705045,14979.859414,18.510737,6.157694,1
291,146.226110,18670.326119,16.069072,8.824147,2
292,175.881040,104549.051129,17.453028,6.981265,2
293,140.523927,8436.130809,16.941214,7.885113,1
294,140.949895,7454.318243,18.185679,7.328452,1
295,146.095194,14577.313706,16.253581,8.704556,1
296,146.307748,15329.934334,17.960305,6.669990,1
297,142.948397,9492.245896,17.544364,8.005801,1
298,148.334296,12132.772858,18.891190,6.896785,2
299,158.556510,23748.168830,19.230299,7.741334,2
300,200.392637,155266.708267,19.565804,5.708578,2
301,148.941807,20312.035305,17.411740,8.014865,1
302,143.183691,9009.359508,17.687899,8.443862,2
303,144.785685,14400.818035,16.828458,9.538289,2
304,141.082797,12633.496463,17.947123,7.968535,1
305,141.733295,7190.613108,17.671238,8.242217,1
306,143.430856,15517.169811,17.949091,7.893325,1
307,141.926112,8626.715724,16.905784,8.116443,1
308,142.801570,9477.121807,18.798209,6.622169,1
309,145.121278,18586.109667,17.304395,10.077269,1
310,141.595751,10774.158242,16.644031,9.831463,1
311,143.807316,9386.323403,17.821244,7.987581,3
312,143.832983,13361.501876,17.242399,8.731765,1
313,150.394753,14592.295720,18.606778,6.620684,3
314,142.795265,7530.055606,17.790293,7.241233,1
315,150.475725,11691.879610,19.272964,6.698771,2
316,148.526393,10921.070018,18.021819,7.042851,2
317,149.272168,13156.552992,18.947589,6.760664,1
318,152.127183,14887.167191,19.401150,6.103609,0
319,149.672687,14433.860806,17.728515,7.923437,1
320,146.667754,16695.554625,17.090565,8.677741,1
321,139.963916,9532.089892,16.750714,8.447181,1
322,147.035910,10846.523830,17.561212,8.596151,1
323,145.712382,13169.935846,17.147655,7.482811,1
324,145.810540,10656.122021,18.282743,8.161017,1
325,142.941224,7945.502653,18.368861,6.698114,1
326,150.603341,21676.942586,16.611626,8.788387,1
327,147.761311,14654.631986,17.328503,8.310411,1
328,146.694729,13139.051314,17.171484,7.530501,1
329,145.220117,10598.472787,17.696246,7.646896,1
330,150.360178,12488.533521,17.933694,7.238304,1
331,150.687180,17785.726876,18.266986,6.161320,1
332,148.583221,13634.132107,17.900375,7.647252,1
333,151.607428,12491.580781,18.042074,7.635597,1
334,144.647362,11053.409778,17.617819,8.316063,1
335,150.374457,17448.512969,18.550696,7.721101,1
336,144.507260,13502.597514,16.807179,8.112549,1
337,142.089616,8350.433259,17.017339,8.481964,1
338,142.197088,11402.608197,16.394509,7.714384,1
339,149.247052,17408.144065,17.593151,7.111959,1
340,145.311696,10582.643999,17.572250,7.501727,1
341,145.936531,12914.562986,18.168783,7.105297,2
342,146.616238,17152.345301,18.210987,7.577403,1
343,142.276378,9502.736155,18.217658,8.228307,2
344,141.804122,7034.909602,17.047812,8.479078,1
345,151.767301,14783.281348,18.370435,5.425429,1
346,140.434217,7536.917409,18.235988,7.122385,1
347,149.052643,14001.304078,18.785366,6.834449,1
348,144.948736,11059.424585,17.778379,7.570434,1
349,144.267218,10453.563751,17.479114,8.357636,1
350,152.164261,25799.676411,17.696104,8.623701,1
351,139.196043,8838.350349,16.887183,7.961794,2
352,146.478952,8996.148636,18.381330,6.293209,2
353,153.766576,20299.497640,18.675538,6.529876,1
354,149.780441,17835.894217,18.240383,7.422271,1
355,150.869894,14317.311583,18.734741,7.421190,1
356,142.788387,8793.057571,18.097109,7.809354,1
357,144.691740,9960.671096,17.165749,8.302598,1
358,141.888591,9362.305686,17.795546,7.588441,2
359,143.955662,11401.402442,18.011309,8.267016,1
360,144.894236,18138.092281,16.914531,9.455061,1
361,145.434077,12814.335441,18.763435,5.765189,1
362,145.744618,12691.750822,19.131334,7.075849,1
363,140.480564,8410.767539,17.268676,8.345464,1
364,156.141277,22633.066355,19.055206,6.116130,0
365,141.675171,10420.724254,17.482892,8.087483,1
366,146.855656,9176.230966,18.071004,7.551723,1
367,141.816575,8443.729361,18.818548,7.214554,1
368,141.138625,8944.415041,17.055358,9.511938,1
369,149.458001,17102.918129,17.477212,6.583274,1
370,142.154387,8908.501437,17.729511,7.295467,1
371,156.409754,38528.141384,17.877516,6.646492,1
372,152.338683,26261.184831,17.368790,6.449239,1
373,139.240588,9057.128310,18.247553,7.680570,1
374,147.218746,12078.833942,18.810019,6.892139,1
375,141.941938,11560.636451,16.809992,8.074002,1
376,157.995269,62706.958062,17.026415,10.134196,1
377,149.691196,26304.007022,16.704798,8.767404,0
378,140.079192,14537.997082,17.231008,9.800316,1
379,141.390300,9855.834683,17.006210,8.523840,1
380,141.248936,8664.120660,17.361099,7.360937,1
381,140.779086,10067.967209,16.876804,8.874362,1
382,182.015368,105182.229028,18.044101,7.150522,0
383,140.132934,8662.918482,17.122225,8.407821,1
384,145.658734,10057.126948,17.637094,6.393925,1
385,142.437268,13194.703469,17.234695,8.110112,1
386,139.183808,10769.132971,16.864646,9.632144,1
387,141.052955,10481.195251,17.316925,9.489312,1
388,143.410269,8970.392545,16.597262,8.685438,2
389,150.111963,17993.096641,17.427259,6.392822,1
390,142.818320,11255.895992,17.577687,8.480776,1
391,148.721883,12748.440895,18.232545,6.008649,2
392,142.271126,11514.839483,16.785715,9.610919,1
393,141.722567,8392.062362,16.885832,8.780374,1
394,144.405077,11587.018343,18.017177,7.382857,1
395,144.753540,12119.648132,18.191453,7.336916,1
396,144.014851,8818.809849,18.812983,8.340625,1
397,143.900637,9305.996955,18.418031,7.064648,1
398,144.022027,16063.701678,17.856548,9.278137,1
399,145.787086,14730.427245,17.567905,9.079783,1
400,143.985801,11124.851837,17.385061,8.809489,1
401,151.929297,18461.407008,17.907262,7.888339,1
402,141.543884,8601.557942,17.956436,8.563903,1
403,144.565053,9058.038884,17.699356,7.096430,1
404,141.630526,8498.019247,17.359516,8.124544,1
405,141.405960,10579.973709,16.443497,8.253390,1
406,142.043366,12305.512079,17.224646,7.965525,1
407,142.901990,8881.047078,17.385362,7.994317,1
408,145.600199,16450.561019,16.104915,9.655885,1
409,140.594275,8819.692936,16.517329,9.807746,1
410,141.865519,8919.774911,16.376528,8.894174,1
411,144.103535,13009.527691,16.246860,7.617229,1
412,140.241248,7959.124462,16.621083,8.145083,1
413,156.180452,26892.269791,16.521621,8.724946,1
414,143.469551,14070.041740,17.028262,10.249720,1
415,142.696870,12564.555469,16.537406,7.814493,1
416,150.354246,26348.312509,17.443569,7.807348,1
417,143.319714,11256.432174,16.688313,8.805246,1
418,144.732205,15835.591246,16.495529,8.263448,1
