generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,465.278113,92268.138988,29.041310,0.847225,7
2,499.486191,206731.086742,28.210067,0.965891,6
3,358.832780,41226.478653,28.357867,0.928451,6
4,550.957024,222722.880988,28.903794,0.896601,5
5,452.038529,74125.050578,29.346386,0.851456,6
6,434.907339,60812.705800,29.074213,0.906109,5
7,444.411314,250973.922150,28.585726,0.921905,6
8,368.684203,35055.296159,29.192773,0.879028,6
9,424.447374,46929.438110,28.469690,0.944853,6
10,547.677175,200095.472607,29.125538,0.874825,7
11,436.567847,64314.085278,28.335317,0.959114,5
12,505.942075,138978.827618,29.184088,0.875204,2
13,383.838507,48141.002557,28.827054,0.919674,2
14,622.031204,287507.439988,29.526280,0.862868,7
15,856.052460,1485754.330576,28.768466,0.889939,2
16,388.954070,78022.921771,28.221821,1.000541,4
17,475.953740,159585.691781,29.334294,0.903275,6
18,587.462249,390547.291849,28.914736,0.909511,11
19,520.314004,174453.643950,28.200815,0.989288,4
20,519.218050,194063.692736,29.266324,0.856929,4
21,582.770654,212291.798246,28.789573,0.937199,5
22,444.542025,67114.914327,28.256758,0.951432,5
23,435.422684,51360.750673,28.949250,0.918217,2
24,542.455476,108970.591408,29.155524,0.894373,7
25,435.625408,45716.525777,29.172919,0.869673,5
26,445.073360,134026.107415,28.147039,0.969647,5
27,504.613145,212191.330610,29.239526,0.867383,4
28,615.392465,220613.673229,28.301156,0.921143,5
29,456.477361,105620.506874,28.340551,0.936204,7
30,371.612348,38703.041081,28.043908,1.005611,5
31,555.292041,197216.572366,28.377204,0.915176,5
32,400.059115,58435.522562,28.268297,0.951238,7
33,519.699484,138905.151415,28.612729,0.949398,7
34,625.118707,334008.077743,29.324696,0.908165,5
35,429.137658,60248.332085,29.094610,0.936914,5
36,656.987965,263232.334350,29.248196,0.923690,11
37,609.722690,213040.988265,29.796064,0.842827,7
38,475.671257,101000.605087,28.747446,0.907856,6
39,504.454083,122182.068654,29.282972,0.896840,1
40,583.818276,265327.888335,29.233462,0.884255,5
41,648.118583,393804.697550,28.343902,0.940125,7
42,587.875054,245657.151559,29.127281,0.894347,5
43,531.633982,169897.051358,29.090232,0.921569,5
44,580.906250,190577.163294,28.851480,0.900876,5
45,861.220500,1493500.323584,28.557513,0.913054,2
46,519.093598,213629.010220,28.562024,0.906074,2
47,583.303588,241323.876300,29.308870,0.884438,4
48,631.418715,203942.920971,28.560182,0.891585,3
49,531.336806,185065.376697,29.222342,0.900919,4
50,643.544858,347530.516965,29.142321,0.882289,7
51,666.603937,372655.893141,28.636778,0.935466,9
52,480.552381,81260.610422,29.274952,0.899938,5
53,521.067457,95203.857946,28.667835,0.930145,4
54,538.602095,176369.871216,28.990683,0.916215,4
55,686.725566,412138.696216,29.421249,0.891964,5
56,534.319124,103087.548835,29.324065,0.874666,4
57,563.467013,194710.299756,29.620716,0.868479,1
58,412.649623,47206.709504,29.051437,0.911820,3
59,520.616685,105463.713292,29.274749,0.909421,3
60,537.625899,280907.261763,28.663229,0.933299,4
61,496.523631,185735.453648,29.113103,0.930936,5
62,520.644684,122193.094444,29.144277,0.881130,4
63,589.554842,146818.972647,29.305460,0.907119,0
64,650.486306,365881.591485,28.757603,0.920484,4
65,416.998218,79854.706032,28.631423,0.941416,2
66,455.590367,89873.673778,29.523702,0.875139,0
67,496.924519,101922.461154,29.274005,0.883200,0
68,540.420137,143310.986845,29.165618,0.912028,0
69,483.623095,93920.351733,28.628140,0.941626,3
70,554.241454,195712.224191,29.461061,0.895385,8
71,684.610637,319212.547231,29.152508,0.903954,3
72,522.232903,122240.031815,28.868894,0.928910,2
73,549.838163,189853.523411,28.877027,0.902298,1
74,674.700885,291748.414872,28.745147,0.936279,1
75,502.164960,168896.454132,29.100822,0.913401,0
76,686.433409,608813.333568,29.015976,0.905955,0
77,502.991999,97653.119225,28.957966,0.917433,0
78,583.442828,178524.831118,28.918740,0.911219,1
79,487.306402,117233.554649,28.770827,0.914278,4
80,510.536870,171358.352600,29.034570,0.922254,1
81,527.203209,118298.655229,29.447304,0.874030,2
82,537.505377,195539.069743,29.369451,0.902650,3
83,569.768130,166198.752353,28.889328,0.930705,0
84,450.091117,100744.816361,28.625270,0.917578,2
85,593.257968,123763.615238,28.894603,0.923785,2
86,608.915456,222422.858258,28.866562,0.914062,0
87,559.643091,241477.529582,29.091973,0.897360,2
88,575.731928,211255.032090,28.721206,0.902160,2
89,573.162498,184967.979619,28.983217,0.900544,3
90,513.847733,120425.665976,29.015304,0.902781,1
91,591.303826,177427.148938,28.697209,0.944004,1
92,424.463429,67123.034142,28.735848,0.907851,2
93,543.332731,132661.691841,28.958954,0.938215,1
94,490.434364,104316.243058,28.875245,0.906582,2
95,528.607412,139563.695405,28.627375,0.937092,0
96,527.201270,164181.553020,29.012646,0.888009,0
97,609.771303,323924.717764,29.179187,0.898272,2
98,703.146198,439101.629208,29.248646,0.903288,0
99,710.612232,431833.737019,28.977645,0.915210,1
100,569.887162,134859.619407,29.093339,0.919227,1
101,754.400002,908035.406534,29.106425,0.904819,0
102,678.544670,505751.435602,29.023326,0.879064,0
103,619.506360,239467.644299,28.614555,0.930901,0
104,493.577034,163999.645973,29.155266,0.891138,1
105,457.120766,115145.937143,29.508907,0.879326,1
106,558.228256,135565.901757,28.773468,0.939754,0
107,517.627211,144898.455080,28.999743,0.914349,2
108,534.942689,141114.488358,29.022139,0.938321,4
109,489.199682,76718.619886,29.066727,0.933501,0
110,543.169562,151222.552572,29.115739,0.913110,1
111,826.123408,1139181.966962,29.145579,0.903437,1
112,546.756689,107879.603121,28.741094,0.939785,3
113,701.831730,277912.654220,28.594903,0.925319,1
114,622.299617,214507.643576,29.343482,0.906025,0
115,777.469016,526064.951477,28.682944,0.932494,3
116,798.171532,611269.707200,28.540458,0.929621,1
117,762.887175,575021.233815,28.943587,0.950151,0
118,637.816249,182925.567652,28.871407,0.930825,2
119,659.566371,304469.096739,28.980683,0.901502,0
120,521.393449,100257.680914,29.280778,0.921684,0
121,622.420847,245629.162498,29.650626,0.869361,0
122,528.236557,203485.841066,29.234505,0.893907,2
123,559.537254,131726.392731,29.408735,0.915540,0
124,537.546545,154547.651139,29.443258,0.877437,0
125,574.338859,196343.449494,29.450965,0.891105,0
126,559.980753,164435.364696,29.068716,0.914251,3
127,659.896308,229748.578234,28.693725,0.915078,1
128,627.249711,160364.706716,29.218019,0.914021,2
129,579.352309,141921.857255,29.197219,0.930000,0
130,645.765976,372425.362275,28.758622,0.925637,0
131,568.879760,116083.193288,29.342627,0.875794,0
132,544.225028,169713.319343,29.248232,0.889252,1
133,450.372341,83723.743805,29.362392,0.891896,0
134,585.603704,424379.470423,29.230420,0.883196,0
135,574.813695,205896.647009,29.152148,0.917290,0
136,573.149269,148131.685125,29.378289,0.877078,0
137,565.387322,154622.060881,29.636784,0.881334,1
138,482.354386,100004.262920,29.026211,0.901642,0
139,553.657964,220129.010308,28.992231,0.898810,0
140,602.311542,216850.833538,29.418356,0.907946,0
141,486.182991,104119.584054,28.929294,0.901123,1
142,504.733567,195868.249947,28.691236,0.917497,0
143,444.550239,61967.782969,28.746832,0.918830,0
144,501.426051,116491.003872,29.337194,0.888427,0
145,481.863551,78107.000043,28.904638,0.894986,0
146,515.192838,135363.229028,29.666337,0.862432,1
147,479.290349,171732.756902,29.232546,0.886726,0
148,538.787222,121992.277627,29.141636,0.887022,0
149,531.217327,123509.784311,29.993966,0.883714,2
150,540.323839,140497.010493,28.908454,0.912192,4
151,510.570330,135867.124938,29.556014,0.881836,0
152,516.192332,104525.351277,29.547035,0.862065,0
153,464.579459,95813.309773,28.695528,0.940454,0
154,517.013097,101264.590783,28.594254,0.932018,0
155,491.347093,127470.581461,29.167481,0.913480,0
156,471.406590,73654.711499,29.384439,0.898619,0
157,459.620827,69717.691500,29.913973,0.869888,0
158,505.796076,305611.643136,29.326009,0.885327,2
159,488.668098,96058.838349,28.906702,0.918844,0
160,476.168853,95532.817947,29.054124,0.916823,0
161,539.864258,124976.788359,29.022826,0.920613,0
162,563.228012,180799.141236,29.054507,0.894906,0
163,528.188698,263665.340821,29.452184,0.862173,0
164,499.326799,95244.871602,29.357274,0.919723,0
165,497.959841,116261.136878,28.900873,0.921808,0
166,532.514022,113800.989551,29.309715,0.927813,0
167,468.087756,92950.665489,29.389608,0.888746,0
168,470.059665,80386.526118,29.045134,0.914150,2
169,540.290478,155472.296470,28.923003,0.911615,0
170,466.756329,94398.409837,29.245078,0.890974,0
171,570.993012,237159.204530,29.249845,0.915478,0
172,557.619201,207581.564603,29.539024,0.861787,0
173,585.231602,211485.421919,28.622288,0.941127,2
174,490.865913,191239.811706,29.287056,0.880322,1
175,505.634942,83689.777135,29.483625,0.895320,0
176,415.158516,74321.649543,29.031099,0.888662,0
177,451.831234,93855.248845,29.203127,0.899197,0
178,544.491780,180906.073038,29.214433,0.892663,0
179,536.237111,160090.425615,29.073826,0.919155,0
180,526.463943,139589.802326,29.104049,0.872132,2
181,552.938953,181811.333912,29.434324,0.893487,0
182,450.557486,84455.735185,29.651010,0.902828,0
183,518.925652,144899.580055,29.445975,0.893053,3
184,504.701722,134247.649173,29.597244,0.876876,3
185,515.234770,212176.148980,29.464664,0.861189,0
186,457.394880,75023.295149,28.978530,0.920567,3
187,589.388815,288045.656550,29.032580,0.909908,1
188,547.520069,148107.197999,28.601741,0.929253,2
189,488.634323,140654.653855,29.527030,0.881190,2
190,507.704837,126101.048403,29.000433,0.910434,0
191,474.035908,86900.359303,28.849225,0.934594,2
192,435.589057,64940.340227,29.286496,0.870882,0
193,540.038728,132934.635466,29.639330,0.885924,2
194,452.000121,63103.712739,29.358522,0.898708,0
195,517.258628,99511.389870,29.309893,0.905780,0
196,498.830107,109429.099624,29.310262,0.873257,0
197,524.243267,141038.343833,28.922582,0.914591,0
198,505.313224,155828.618825,29.230854,0.895895,0
199,538.619260,127084.422301,29.272831,0.891689,3
200,499.455809,211418.278872,29.639185,0.887483,0
201,518.571385,133968.778595,29.309271,0.894541,0
202,513.139602,174005.410685,29.187779,0.898404,0
203,482.837883,91310.097230,29.603637,0.880636,0
204,508.130773,99172.819274,29.142251,0.924981,3
205,451.547853,93747.783386,29.257966,0.898090,3
206,463.228797,102248.962071,29.395659,0.892886,3
207,486.492210,118184.766671,29.445414,0.888972,0
208,518.207892,139232.188817,29.230614,0.901649,0
209,466.741627,80822.205760,28.922339,0.916176,0
210,469.585534,93702.902222,29.404824,0.910841,0
211,494.486031,165718.189253,28.713155,0.941587,0
212,509.498880,123306.610012,29.293921,0.892200,0
213,484.377351,119985.350538,29.081784,0.927872,0
214,518.320903,124650.241188,29.160048,0.894130,0
215,482.348107,109619.964937,29.162900,0.892914,0
216,484.173726,93343.117483,29.354144,0.882100,0
217,544.337527,152106.160010,29.251801,0.877200,0
218,512.160850,129806.010043,29.182408,0.911560,0
219,530.236646,142032.719782,29.088823,0.897476,2
220,505.007632,108011.120911,28.843022,0.914725,0
221,528.775858,152067.353146,28.863899,0.905659,0
222,482.744241,68409.870698,28.745113,0.927468,0
223,473.394571,110858.188303,29.157852,0.894643,2
224,459.050035,63872.203783,29.208523,0.907257,0
225,486.734784,126064.023402,29.024362,0.902008,0
226,504.465430,100130.681789,29.404331,0.884375,0
227,484.320784,97939.911830,29.137101,0.893411,0
228,546.859529,172558.174914,29.180941,0.897996,0
229,505.058089,138725.169842,29.575388,0.887345,2
230,489.413125,113257.484839,29.177117,0.899012,0
231,505.532705,239084.607195,29.119128,0.884702,2
232,544.823052,166512.019613,29.319605,0.898103,0
233,493.727697,90096.005495,29.787070,0.885292,2
234,453.524221,71753.861084,29.173786,0.887926,0
235,531.878200,98339.668245,29.502278,0.897177,0
236,497.290866,91323.243160,29.315279,0.891731,0
237,581.020827,199199.710778,29.482122,0.876909,3
238,517.224399,190721.753492,29.287423,0.885016,0
239,480.715781,120267.546815,29.290707,0.897157,2
240,494.072020,147238.682497,28.802938,0.916083,2
241,652.013147,500501.161234,28.855156,0.910250,5
242,502.204286,98591.698478,29.407308,0.873585,0
243,541.095924,311968.559650,29.453897,0.885761,0
244,541.199553,196075.702145,29.336948,0.892901,0
245,501.039830,129815.374167,29.389894,0.895097,6
246,505.660444,106482.559418,29.199766,0.911507,0
247,554.497471,253948.595259,29.143689,0.902004,2
248,557.926489,133262.921408,28.748211,0.929061,0
249,495.965178,84645.997858,29.296657,0.887147,2
250,485.336394,120611.627673,29.405158,0.884038,0
251,601.709066,232466.657710,29.607447,0.879219,0
252,388.658606,40561.685876,28.667076,0.916024,6
253,421.567259,57711.517082,29.102073,0.893586,0
254,573.118462,177643.900064,29.052066,0.908902,0
255,540.128750,184555.437064,29.298034,0.885173,0
256,502.194298,128498.066242,28.692144,0.925533,0
257,631.304387,278062.403439,29.301610,0.898778,0
258,474.590363,123483.257363,29.193747,0.919767,0
259,507.925001,212174.634506,29.062902,0.908698,3
260,506.381807,114522.638616,29.335656,0.891720,0
261,480.964027,103954.245210,29.213740,0.862145,0
262,543.033416,144555.440146,29.031623,0.907676,0
263,485.440909,97198.159997,29.242584,0.902705,0
264,521.273930,144352.361640,29.189765,0.936289,7
265,499.905122,125354.438470,29.042828,0.907855,0
266,582.584097,258827.713982,28.553585,0.955006,0
267,495.483041,180145.162938,29.173654,0.881767,0
268,477.405028,93415.764999,29.478354,0.909784,2
269,419.366433,58971.186730,29.814146,0.861192,2
270,470.100790,95104.699053,29.356351,0.880599,2
271,578.284120,160427.269928,29.481618,0.884344,0
272,639.154563,324064.342360,29.622083,0.860844,6
273,465.659260,68263.933769,28.955734,0.912769,0
274,417.901802,40620.874727,28.992366,0.907152,0
275,473.610440,165637.283215,29.330292,0.896177,0
276,476.428699,100228.059780,28.815944,0.882529,5
277,561.782070,187162.319335,29.396611,0.905601,0
278,493.712532,132409.295860,28.430703,0.956354,0
279,465.478325,77116.856566,29.311107,0.896592,0
280,459.088003,132104.949683,29.212859,0.897962,0
281,505.275299,148734.309664,28.880776,0.911831,0
282,500.519856,109238.557129,29.147672,0.900927,0
283,520.609799,131283.985981,29.177482,0.901990,5
284,479.556474,77491.879506,29.413487,0.918369,0
285,489.495608,116907.338123,29.473662,0.863318,6
286,520.225047,187618.496307,29.413902,0.894758,0
287,552.632801,191874.703101,28.677489,0.948516,5
288,535.893621,204914.739548,29.124642,0.905490,0
289,505.513716,134112.094086,28.938174,0.925042,0
290,568.645910,286381.487446,28.948545,0.945938,0
291,565.843217,196762.388994,29.069234,0.902247,0
292,500.809137,93156.758848,29.260161,0.886396,0
293,392.181960,33602.260791,29.277356,0.898335,0
294,555.613530,236350.702429,29.648133,0.886637,0
295,428.913677,55208.834788,29.027144,0.894245,0
296,465.537969,65018.151998,28.944029,0.925648,3
297,525.916979,153822.236159,29.423787,0.891980,0
298,511.480038,156702.711323,28.864506,0.924133,0
299,563.362007,251948.676109,29.299853,0.871452,0
300,501.925734,226457.563433,29.192811,0.893731,0
301,436.372394,57920.023547,29.274460,0.883927,6
302,562.110945,157042.824471,29.056094,0.920099,1
