generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,678.923442,411787.585040,29.057241,0.914094,8
2,468.023322,74103.698631,28.652841,0.934812,8
3,732.960690,501669.338051,29.110443,0.905690,8
4,534.224428,264839.836270,29.072265,0.924151,8
5,530.333974,169177.694573,29.523916,0.895019,8
6,537.318194,93592.524180,28.646848,0.944399,8
7,700.469652,958518.786045,29.274365,0.901421,8
8,536.846170,155317.228513,29.652850,0.892526,5
9,567.847530,216667.090296,29.216460,0.893771,7
10,530.007017,183588.368779,29.433599,0.919276,8
11,582.221121,248655.387543,29.160576,0.888762,8
12,582.462604,354293.816048,28.703982,0.901173,5
13,573.161316,264004.707256,28.788920,0.939483,10
14,402.050621,54980.966040,29.021764,0.895983,10
15,449.299982,112892.291811,29.361662,0.911220,6
16,443.053754,64704.834803,29.190967,0.889559,6
17,476.924728,90229.325608,29.184226,0.892353,4
18,594.747690,742936.260885,29.301649,0.901635,7
19,628.034099,529335.056676,29.179624,0.896866,8
20,406.821017,47199.087904,28.962033,0.917157,8
21,407.465925,115763.820052,29.178014,0.895479,7
22,532.551466,143480.105428,28.649432,0.908855,8
23,388.950770,47128.874533,28.650784,0.918659,8
24,513.709089,116041.269627,28.429410,0.954869,7
25,594.179399,435662.091346,28.726858,0.906075,8
26,502.744223,90679.678536,28.575330,0.919599,11
27,428.944891,96337.280910,28.239718,1.006232,8
28,418.901020,89255.852179,28.083937,0.912014,8
29,510.712197,195032.166032,28.229289,0.924674,8
30,449.072439,109661.318865,28.593356,0.958584,3
31,680.892719,894228.438564,28.477388,0.928322,9
32,411.082812,38793.750875,27.833050,0.961165,6
33,803.794547,887116.585756,27.213505,0.992208,8
34,528.003570,165212.281533,27.428307,0.981048,5
35,836.663930,682108.995378,27.027222,1.001812,7
36,725.480778,779866.162731,28.006116,0.932779,4
37,957.502026,1091361.750835,26.942269,1.015128,6
38,1817.790101,10649393.525951,26.830845,1.034476,6
39,1370.787976,3555417.894325,25.580894,1.094544,1
40,1042.829885,1736884.335833,26.294398,1.093707,8
41,975.481263,1145555.533254,26.162655,1.088170,8
42,1812.247401,4936328.615217,26.169024,1.104041,7
43,586.847129,129235.275607,27.376934,1.034777,7
