generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,443.841996,64448.928899,29.034962,0.893862,6
2,524.011311,129288.013427,28.316041,0.936856,8
3,534.337447,133074.883129,28.738731,0.896983,5
4,483.151013,117152.732940,28.891563,0.919770,8
5,526.923830,106966.254046,28.618545,0.923997,8
6,719.913881,622112.719459,28.227619,0.963160,8
7,562.287482,245549.898554,28.734996,0.904543,8
8,543.734188,133448.176560,27.957739,0.948982,5
9,571.072264,307141.069077,28.345059,0.924503,5
10,481.335409,67471.972946,29.386719,0.906612,8
11,553.732446,139786.251944,28.334005,0.942788,12
12,608.892027,328374.451038,28.306499,0.925693,10
13,511.674202,163522.622842,29.083749,0.927324,9
14,519.374466,148742.641859,28.482664,0.924626,8
15,516.373904,163557.820869,28.980254,0.910776,3
16,471.718847,124573.345825,28.405267,0.929021,6
17,523.420055,144421.602267,28.315880,0.939850,8
18,488.424649,136754.289834,28.241336,0.919202,5
19,449.194067,65499.074411,29.040207,0.919336,9
20,450.869783,64840.361824,28.338096,0.914632,9
21,537.556530,265187.015977,28.371888,0.904984,9
22,410.411958,52415.885829,28.227174,0.927429,6
23,479.359847,109954.894541,28.568072,0.923797,8
24,489.410605,74736.573161,28.615665,0.957933,5
25,546.673718,148498.948265,28.812160,0.892792,8
26,553.839410,123052.100399,29.017572,0.900203,9
27,516.889651,141399.053161,28.338412,0.936057,5
28,526.718514,286237.974707,28.188859,0.942591,5
29,559.837754,297352.238867,28.838832,0.887072,2
30,608.177436,222927.878955,28.220363,0.931776,5
31,556.264467,263768.952382,28.859023,0.925113,5
32,413.720754,46059.854758,28.601488,0.932885,3
33,513.029253,113460.959720,28.035487,0.943587,2
34,589.484847,236105.827042,28.034056,0.948878,4
35,375.136593,44029.441967,28.707802,0.933200,9
36,356.705582,63298.527752,27.432664,1.062429,5
37,488.071310,165696.235473,28.510097,0.911552,3
38,519.886501,242422.826215,28.845687,0.907298,5
39,464.948983,81195.736130,28.430067,0.915226,5
40,362.270995,31395.445213,27.932310,0.985256,9
41,563.138452,166873.565704,28.509937,0.918906,5
42,523.415661,241123.494963,28.112141,0.968064,8
43,374.293704,31062.907475,27.524810,1.020473,9
44,385.500984,43850.853716,28.360386,0.943749,4
45,473.821180,97758.150691,28.596002,0.930234,8
46,539.213253,185842.403152,28.559595,0.913206,9
47,599.498435,151171.296779,28.874356,0.941699,0
48,569.277990,196201.213600,28.500722,0.951627,7
49,603.820815,412944.478234,28.522870,0.916829,9
50,396.961555,35068.087341,28.491772,0.941751,9
51,474.157520,121386.505651,28.072218,0.968952,2
52,442.325100,52356.840880,27.798350,0.961218,3
53,553.273487,163815.228278,28.253351,0.945142,6
54,667.488233,431785.601675,28.164444,0.950205,5
55,450.596213,87228.876743,28.106798,0.935718,3
56,525.768339,147174.046344,27.532860,1.004489,4
57,461.248114,72342.154575,28.312265,0.923512,5
58,677.928381,332294.311662,28.036741,0.968915,7
59,590.702755,380422.731642,27.895733,0.943827,4
60,820.456209,890033.706406,28.217772,0.960296,9
61,481.538706,79507.876725,27.633700,0.947752,9
62,638.501214,255932.291628,28.032995,0.956507,3
63,416.843725,53225.265616,27.229036,1.024779,7
