generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
1,117006.000000,82996.000000,20,8233.927326,31105134.641745,1720.980685,0.277914,3,2,5,86
1,115378.000000,84624.000000,23,1978.213906,799409.383221,1786.924197,0.248258,3,2,5,88
2,111170.000000,88832.000000,19,1466.967277,1999754.152218,1748.496864,0.295459,3,2,5,85
3,121653.000000,78349.000000,30,1310.359925,160203.819307,1491.629632,0.386508,3,2,5,83
4,116912.000000,83090.000000,29,2334.242616,527899.897254,1678.332287,0.334754,3,2,5,81
5,123516.000000,76486.000000,29,1630.999811,391350.856460,1560.217780,0.420577,3,2,5,86
6,114629.000000,85373.000000,26,5456.458426,7647135.713641,1539.525205,0.326997,3,2,5,80
7,118308.000000,81694.000000,26,1047.202134,209556.039132,1712.773543,0.278017,3,2,5,86
8,121045.000000,78957.000000,29,2489.502152,1731207.855540,1570.699971,0.357338,3,2,5,77
9,124634.000000,75368.000000,31,4097.958091,4527518.308984,1496.138706,0.380622,3,2,5,77
10,122397.000000,77605.000000,33,1381.415062,769191.551014,1649.569605,0.328961,3,2,5,76
11,125112.000000,74890.000000,25,4051.935295,13383333.055937,1491.265060,0.408567,3,2,5,101
12,127223.000000,72779.000000,35,2670.345297,942945.011683,1520.796757,0.327154,3,2,5,77
13,116153.000000,83849.000000,27,5064.864020,13189707.700294,1652.149333,0.365797,5,3,5,85
14,122650.000000,77352.000000,29,2628.940956,2033187.739061,1626.533029,0.369613,5,3,5,79
15,124136.000000,75866.000000,32,1228.989210,455798.835319,1665.544021,0.299298,5,3,5,74
16,116474.000000,83528.000000,25,2681.673420,1673737.302085,1665.176668,0.332706,5,3,5,82
17,126344.000000,73658.000000,32,2689.464950,2343644.767159,1679.518464,0.376888,5,3,5,71
18,131388.000000,68614.000000,36,1200.298762,123901.912367,1512.269315,0.345051,5,2,5,67
19,123808.000000,76194.000000,34,989.792836,72708.288623,1994.813796,0.230258,5,2,5,72
20,135626.000000,64376.000000,38,1072.372034,263942.998924,1617.893395,0.317994,5,2,5,77
21,125529.000000,74473.000000,33,2820.303623,4240298.811259,1805.991512,0.345681,5,2,5,79
22,138757.000000,61245.000000,41,977.032913,116331.310288,1533.648056,0.266972,5,2,5,68
23,129125.000000,70877.000000,35,612.743299,72530.455111,1550.772824,0.331396,5,2,5,74
24,141547.000000,58455.000000,54,1247.064952,138107.560561,1461.281559,0.316032,5,2,5,52
25,118608.000000,81394.000000,29,3159.172519,3869778.975811,1609.257415,0.386064,5,2,5,84
26,121956.000000,78046.000000,25,10040.548931,106000402.506025,1428.710402,0.384700,5,2,5,87
27,117449.000000,82553.000000,21,2989.235097,4786116.108811,1880.282654,0.257102,5,2,5,90
28,124553.000000,75449.000000,30,1876.502151,479462.228753,1608.247629,0.288053,5,2,5,78
29,133550.000000,66452.000000,42,1550.473549,357210.766256,1698.195140,0.298492,5,2,5,66
30,129557.000000,70445.000000,38,3223.921136,2088492.418270,1746.941510,0.232185,5,2,5,70
31,134383.000000,65619.000000,45,919.054283,108120.191664,1394.694927,0.346997,5,2,5,69
32,119261.000000,80741.000000,24,1991.629602,770976.796615,1772.039897,0.288446,5,2,5,80
33,128658.000000,71344.000000,31,1275.835800,494710.479148,1730.296791,0.264271,5,2,5,78
34,132144.000000,67858.000000,38,1298.845424,356425.781465,1577.057241,0.277259,5,2,5,73
35,126684.000000,73318.000000,32,3111.918400,10687569.992557,1451.780604,0.332562,5,2,5,75
36,125165.000000,74837.000000,31,2092.541830,728501.653899,1494.536139,0.335474,5,2,5,80
37,134740.000000,65262.000000,42,3742.560361,9176779.945554,1433.821641,0.395314,5,2,5,64
38,127678.000000,72324.000000,35,2450.324073,4395539.350140,1320.709342,0.374441,5,2,5,73
39,132623.000000,67379.000000,40,1741.252603,797499.829286,1601.315412,0.303195,5,2,5,72
40,134583.000000,65419.000000,45,1703.446101,1022837.044889,1479.212749,0.426966,5,2,5,63
41,133498.000000,66504.000000,37,2499.421234,2990586.213475,1525.543563,0.338429,5,2,5,67
42,132779.000000,67223.000000,40,1491.707373,1007294.311762,1574.994803,0.332748,5,2,5,69
43,128443.000000,71559.000000,42,4652.329634,12951169.627645,1503.086964,0.296523,5,2,5,69
44,121755.000000,78247.000000,24,3111.404509,5864943.228790,1773.236582,0.302476,5,2,5,90
45,123501.000000,76501.000000,32,3951.504285,14302241.925662,1721.519819,0.254461,5,2,5,74
46,115440.000000,84562.000000,20,10013.916757,155732920.295361,1693.628207,0.352609,5,2,6,88
47,101791.000000,98211.000000,17,2543.483770,4377291.771800,2305.541492,0.216604,5,2,6,92
48,121102.000000,78900.000000,23,5236.493128,14030768.940492,1362.208889,0.425909,5,2,6,89
49,136447.000000,63555.000000,39,1503.391671,1293295.416344,1660.785113,0.368000,5,2,6,73
50,105212.000000,94790.000000,20,15643.743936,123778245.447009,1589.300376,0.459002,5,2,6,98
51,104938.000000,95064.000000,21,4505.669271,8796513.370500,2131.557852,0.300485,5,2,6,87
52,116987.000000,83015.000000,19,2750.844229,1586148.360755,1682.373521,0.317026,5,2,6,94
53,107841.000000,92161.000000,15,13652.306453,75607166.499419,1649.384527,0.408215,5,2,6,99
54,112898.000000,87104.000000,20,4194.123070,9843472.923250,2070.932307,0.315933,5,2,6,92
55,123783.000000,76219.000000,27,4534.214059,9364674.121664,1675.656999,0.336482,5,2,6,82
56,127114.000000,72888.000000,32,3589.376355,3064379.843558,1511.847535,0.394243,5,2,6,79
57,130480.000000,69522.000000,31,2249.245974,2019384.637506,1548.064493,0.300394,5,2,6,84
58,128770.000000,71232.000000,25,3296.739139,15357041.884228,1713.528632,0.310683,5,2,6,88
59,132986.000000,67016.000000,37,4627.520750,28536966.330952,1476.779628,0.312439,5,2,6,73
60,133843.000000,66159.000000,36,2481.442475,2117080.379239,1536.272343,0.315137,5,2,6,73
61,118373.000000,81629.000000,15,8153.822174,46472201.230645,1809.934436,0.255142,5,2,6,94
62,125562.000000,74440.000000,28,2388.929810,4889194.558048,1520.180405,0.363702,5,2,6,91
63,126447.000000,73555.000000,25,1837.269699,1286336.165985,1739.918307,0.338951,5,2,6,82
64,135922.000000,64080.000000,40,1626.593087,191980.230074,1634.768057,0.293909,5,2,6,68
65,133735.000000,66267.000000,39,3445.175679,3759261.172744,1613.267484,0.278945,5,2,6,71
66,114170.000000,85832.000000,20,5270.956541,19281495.199590,1833.614660,0.268121,5,2,6,94
67,130464.000000,69538.000000,35,5050.908118,16611926.329822,1667.329339,0.277848,5,2,6,77
68,121177.000000,78825.000000,28,3807.282857,20670944.901066,1534.933051,0.343917,5,2,6,77
69,125801.000000,74201.000000,21,3042.013670,9308429.474656,1919.494847,0.342035,5,2,6,88
70,144339.000000,55663.000000,42,1584.965778,986825.533661,1349.720037,0.427989,5,2,6,85
71,115033.000000,84969.000000,24,5788.077190,8300087.528904,1729.551762,0.379358,4,2,6,89
72,111300.000000,88702.000000,14,965.596382,166805.304702,1805.922378,0.375433,4,2,6,98
73,127824.000000,72178.000000,31,2188.793026,3500857.885903,1692.070469,0.345813,5,1,6,77
74,125520.000000,74482.000000,34,875.012477,282819.937015,1607.080850,0.359572,5,1,6,78
75,101580.000000,98422.000000,3,16137.973356,269672117.667142,1643.221924,0.275244,5,1,6,99
76,111152.000000,88850.000000,15,9155.530482,68409565.416356,2304.796281,0.237387,5,1,6,93
77,116580.000000,83422.000000,25,1458.924839,1723403.271757,1999.855696,0.253769,5,1,6,78
78,128411.000000,71591.000000,27,1182.284264,406423.768879,1520.808953,0.380220,5,1,6,89
79,120138.000000,79864.000000,21,3943.667452,9631462.933573,1921.452175,0.285871,5,1,6,91
80,113975.000000,86027.000000,20,5280.159084,15021095.775683,1581.373015,0.354566,5,1,6,93
81,108201.000000,91801.000000,18,7341.566812,76891483.374058,1863.047729,0.349472,5,1,6,91
82,129765.000000,70237.000000,29,4985.714192,20033420.903916,1832.334496,0.314906,5,1,6,85
83,107171.000000,92831.000000,17,6508.266412,24859146.235717,1776.653480,0.471886,5,1,6,96
84,117666.000000,82336.000000,27,3172.056218,3632551.961835,1750.263968,0.352867,5,1,6,84
85,123977.000000,76025.000000,35,955.814760,314282.425228,1510.391410,0.357221,5,1,6,75
86,122105.000000,77897.000000,31,1521.897426,309130.249955,1784.170710,0.275098,5,1,6,81
87,111085.000000,88917.000000,17,1438.801212,569639.945070,2364.846025,0.273332,5,1,6,93
88,115581.000000,84421.000000,21,3178.937176,2743345.955622,1507.981676,0.351948,5,1,6,89
89,105902.000000,94100.000000,17,5325.694284,9393917.453143,2277.807125,0.235063,5,1,6,92
90,129107.000000,70895.000000,30,1911.557153,1098158.953105,1589.341979,0.284964,5,1,6,76
91,119368.000000,80634.000000,30,3026.262450,2716455.316721,1383.981715,0.418740,5,1,6,86
92,107506.000000,92496.000000,18,2138.612560,977394.936809,1763.770942,0.245749,5,1,6,88
93,124015.000000,75987.000000,24,2656.082681,7422069.724004,1682.971273,0.311917,5,1,6,84
94,109223.000000,90779.000000,19,6985.958740,18180831.074117,1831.087761,0.392113,5,1,6,89
95,107975.000000,92027.000000,9,11255.862141,58820381.323338,2016.795024,0.242890,5,1,6,102
96,98007.000000,101995.000000,6,20944.282034,368996926.662229,3373.734123,0.224958,3,1,6,102
97,123294.000000,76708.000000,23,3079.313784,5182064.112206,1612.162072,0.390255,3,1,6,86
98,108703.000000,91299.000000,14,10208.804450,80040334.154711,2252.521716,0.438775,3,1,6,99
99,129014.000000,70988.000000,27,6456.327586,20075018.255375,1396.902209,0.445689,3,1,6,92
100,126418.000000,73584.000000,29,5472.620318,12615409.819196,1580.151424,0.452762,3,1,6,87
101,134864.000000,65138.000000,32,3340.088873,12261145.744822,1407.570090,0.324817,3,1,6,82
102,116079.000000,83923.000000,28,3303.569791,7410832.727493,1642.689699,0.360420,3,1,6,80
103,110426.000000,89576.000000,18,3733.004691,13365001.499668,1777.963592,0.418807,3,1,6,93
104,108681.000000,91321.000000,19,6763.231513,19722637.875149,1738.729381,0.378544,3,1,6,103
105,97857.000000,102145.000000,12,5666.879449,9500105.425421,2204.298621,0.326379,2,1,6,99
106,127055.000000,72947.000000,33,1456.367222,958403.604028,1564.873686,0.371458,2,1,6,74
107,105934.000000,94068.000000,17,15507.933508,234939019.375247,1552.328417,0.371067,2,1,6,97
108,86449.000000,113553.000000,2,18110.427830,245710538.012061,6024.729916,0.245250,2,1,6,108
109,95835.000000,104167.000000,7,7103.689570,23861514.846813,2188.578003,0.337292,2,1,6,107
110,96247.000000,103755.000000,3,16987.763276,184361128.718168,3067.654169,0.366916,2,1,6,108
111,89411.000000,110591.000000,1,15012.715728,265523680.413862,7832.772782,0.232433,2,1,6,107
112,93058.000000,106944.000000,5,4918.973312,7799230.995351,4871.656220,0.253036,2,1,6,104
113,102895.000000,97107.000000,8,9005.194780,46935616.531417,2309.629280,0.285090,2,1,6,97
114,104280.000000,95722.000000,6,20636.229979,434562221.810174,1901.844102,0.217841,2,1,6,103
115,115092.000000,84910.000000,22,2575.218270,3537687.495556,1738.019117,0.291142,2,1,6,90
116,116905.000000,83097.000000,15,1367.167540,1134253.004572,1773.784700,0.375619,2,1,6,99
117,115698.000000,84304.000000,16,3566.077499,19264001.083174,1905.145511,0.294749,2,1,6,95
118,100662.000000,99340.000000,1,13255.747341,276919054.353780,6042.381270,0.280588,2,1,6,120
119,100228.000000,99774.000000,12,22032.427837,400165729.652448,1514.734435,0.300341,2,1,6,98
120,108571.000000,91431.000000,5,8188.592924,109408626.568777,1753.158449,0.289227,2,1,6,102
121,112023.000000,87979.000000,13,9596.369247,93185526.551316,1851.052667,0.364633,2,1,6,105
122,93256.000000,106746.000000,1,11283.384496,101251493.822384,2387.454129,0.280198,2,1,6,106
123,86468.000000,113534.000000,1,14826.924842,152902139.998388,3475.577980,0.255363,2,1,6,108
124,99479.000000,100523.000000,4,14777.389483,237075740.738221,3099.369160,0.374051,2,1,6,112
125,115995.000000,84007.000000,18,3218.096799,11894446.481728,1834.317832,0.328946,2,1,6,99
126,111036.000000,88966.000000,5,11779.529809,161186493.207640,1702.753210,0.308464,2,1,6,102
127,93666.000000,106336.000000,2,18567.831474,288951998.526961,6925.357663,0.319136,2,1,6,113
128,97317.000000,102685.000000,2,15857.654201,182937762.858765,3066.961457,0.352872,2,1,6,103
129,101005.000000,98997.000000,1,13461.805829,249417634.195140,4115.037004,0.313029,2,1,6,107
130,89573.000000,110429.000000,2,12994.339722,201154236.684115,1726.625846,0.302762,2,1,6,113
131,97597.000000,102405.000000,9,10713.494779,91943470.437903,2110.144546,0.320511,2,1,6,101
132,101684.000000,98318.000000,4,20027.081712,345451571.600494,1351.551556,0.323782,2,1,6,110
133,88644.000000,111358.000000,0,19539.353443,396930427.542684,1862.628476,0.303789,2,1,6,106
134,122083.000000,77919.000000,22,5608.592915,53396592.622594,1492.212777,0.331762,2,1,6,88
135,97927.000000,102075.000000,6,3411.513703,11764322.214721,2879.484865,0.222325,2,1,6,104
136,94779.000000,105223.000000,1,14355.825700,236617151.782360,3096.406308,0.267948,2,1,6,111
137,123026.000000,76976.000000,24,4019.808923,26709170.266438,1808.673308,0.307735,2,1,6,85
138,94230.000000,105772.000000,1,15888.138747,265361879.582506,1611.289099,0.305581,2,1,6,107
139,88275.000000,111727.000000,2,12608.027862,226269801.216748,7002.172952,0.243363,2,1,6,103
140,110993.000000,89009.000000,5,14878.791273,359313235.589066,1579.659446,0.300093,2,1,6,104
141,91791.000000,108211.000000,1,21542.365480,408112107.389225,5226.115115,0.349072,2,1,6,110
