generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
1,84068.000000,115934.000000,6,2612.796942,588007.598560,2957.432389,0.000000,3,7,5,94
1,111232.000000,88770.000000,15,4884.917861,4367970.724012,2018.113099,0.000000,3,7,5,85
2,101971.000000,98031.000000,14,4218.866862,2371753.347601,1881.026886,0.000000,3,7,5,86
3,106000.000000,94002.000000,14,1945.057864,121741.064276,2202.497402,0.000000,3,7,5,86
4,91217.000000,108785.000000,10,3769.932900,2837881.981385,2523.975534,0.000000,3,7,5,90
5,90530.000000,109472.000000,11,7686.612755,8714497.257988,3219.030255,0.000000,3,7,5,89
6,91069.000000,108933.000000,8,2121.562702,118059.368181,2515.859707,0.000000,3,7,5,92
7,94818.000000,105184.000000,13,1115.073408,1562.124005,2521.216005,0.000000,3,7,5,87
8,91790.000000,108212.000000,13,9924.646319,16778725.792894,2185.457260,0.000000,3,7,5,87
9,94737.000000,105265.000000,11,2644.495380,516348.232536,2433.159856,0.000000,3,7,5,89
10,80978.000000,119024.000000,8,4632.609864,1685710.520638,3874.136039,0.000000,3,7,5,92
11,96723.000000,103279.000000,12,1757.579790,578087.136258,2164.502918,0.000000,2,5,5,88
12,116461.000000,83541.000000,20,3231.821971,622927.442234,1690.631457,0.000000,2,5,5,80
13,96735.000000,103267.000000,9,4740.729783,4011079.648667,2286.756157,0.000000,2,5,5,91
14,74745.000000,125257.000000,6,2768.681054,573682.121999,4709.507603,0.000000,2,5,5,94
15,119425.000000,80577.000000,27,1175.103585,24797.884333,1940.228608,0.000000,2,5,5,73
16,92846.000000,107156.000000,11,3346.241100,345830.069678,2330.888889,0.000000,2,5,5,89
17,96958.000000,103044.000000,12,4267.074131,2485665.097301,2850.866354,0.000000,2,5,5,88
18,120843.000000,79159.000000,19,1051.680111,2639.730264,1666.099052,0.000000,3,5,5,81
19,100350.000000,99652.000000,13,5024.095568,2529163.942901,1964.698296,0.000000,3,5,5,87
20,77175.000000,122827.000000,1,11541.912395,143784402.887905,3569.553282,0.000000,3,5,4,99
21,90546.000000,109456.000000,1,11195.180601,193041103.964594,4159.366849,0.000000,3,5,4,99
22,87639.000000,112363.000000,0,13452.251993,137050484.766694,3080.669460,0.000000,3,5,4,100
23,91877.000000,108125.000000,1,12879.337095,198951105.092041,1762.801079,0.000000,3,5,4,99
24,99606.000000,100396.000000,10,18003.433948,262379304.768515,2103.399820,0.000000,3,5,4,90
25,79504.000000,120498.000000,0,16433.561819,307465964.188585,1708.011327,0.000000,3,5,4,100
